feature,name,address,website,longitude,latitude,location
Basketball Courts,Christie Park,NE 43rd St. and 9th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=595,-122.319072,47.659308,"(47.659308, -122.319072)"
Basketball Courts,Flo Ware Park,2800 S Jackson St.,http://www.seattle.gov/parks/park_detail.asp?ID=363,-122.295867,47.599557,"(47.599557, -122.295867)"
Basketball Courts,Pendleton Miller Playfield,400 19th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=373,-122.306615,47.622067,"(47.622067, -122.306615)"
Basketball Courts,Roanoke Park,10th Ave. E and E Roanoke Park,http://www.seattle.gov/parks/park_detail.asp?ID=379,-122.320223,47.643837,"(47.643837, -122.320223)"
Basketball Courts,Pinehurst Playground,12029 14th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=382,-122.314626,47.716437,"(47.716437, -122.314626)"
Basketball Courts,Beacon Hill Playground,1902 13th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=400,-122.315325,47.586228,"(47.586228, -122.315325)"
Basketball Courts,Brighton Playfield,6000 39th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=402,-122.282098,47.548389,"(47.548389, -122.282098)"
Basketball Courts,Colman Playground,1740 23rd Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=406,-122.301959,47.587625,"(47.587625, -122.301959)"
Basketball Courts,Georgetown Playfield,750 S Homer St.,http://www.seattle.gov/parks/park_detail.asp?ID=410,-122.3214,47.551606,"(47.551606, -122.3214)"
Basketball Courts,Rainier Playfield,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,-122.286199,47.561819,"(47.561819, -122.286199)"
Basketball Courts,"John C. Little, Sr. Park",6961 37th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=429,-122.286686,47.539048,"(47.539048, -122.286686)"
Basketball Courts,Van Asselt Playground,7200 Beacon Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=431,-122.294066,47.539447,"(47.539447, -122.294066)"
Basketball Courts,Freed Hutchinson Playground,S Norfolk St. and 59th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=439,-122.260061,47.514311,"(47.514311, -122.260061)"
Basketball Courts,View Ridge Playfield,4408 NE 70th St.,http://www.seattle.gov/parks/park_detail.asp?ID=444,-122.281073,47.680361,"(47.680361, -122.281073)"
Basketball Courts,Delridge Playfield,4458 Delridge Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=450,-122.364369,47.562841,"(47.562841, -122.364369)"
Basketball Courts,Hiawatha Playfield,2700 California Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=456,-122.38523,47.578526,"(47.578526, -122.38523)"
Basketball Courts,E.C. Hughes Playground,2805 SW Holden St.,http://www.seattle.gov/parks/park_detail.asp?ID=458,-122.370211,47.532807,"(47.532807, -122.370211)"
Basketball Courts,Bryant Playground,4103 NE 65th St.,http://www.seattle.gov/parks/park_detail.asp?ID=482,-122.283764,47.675545,"(47.675545, -122.283764)"
Basketball Courts,Cowen Park,5849 15th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=483,-122.313072,47.672596,"(47.672596, -122.313072)"
Basketball Courts,Burke-Gilman Playground Park,5201 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=496,-122.282622,47.666633,"(47.666633, -122.282622)"
Basketball Courts,Dahl (Waldo J.) Playfield,7700 25th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=499,-122.299309,47.685267,"(47.685267, -122.299309)"
Basketball Courts,Meridian Playground,4649 Sunnyside Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=1104,-122.332557,47.664157,"(47.664157, -122.332557)"
Basketball Courts,Unnamed Sister City Park,I-90 Lid,http://www.seattle.gov/parks/park_detail.asp?ID=3121,-122.30084,47.588907,"(47.588907, -122.30084)"
Basketball Courts,Jefferson Park,4165 16th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=114,-122.312031,47.570105,"(47.570105, -122.312031)"
Basketball Courts,B.F. Day Playground,4020 Fremont Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=241,-122.349222,47.656305,"(47.656305, -122.349222)"
Basketball Courts,Gilman Playground,923 NW 54th St.,http://www.seattle.gov/parks/park_detail.asp?ID=242,-122.369684,47.667293,"(47.667293, -122.369684)"
Basketball Courts,Golden Garden Park,8498 Seaview Pl. NW,http://www.seattle.gov/parks/park_detail.asp?ID=243,-122.404273,47.692676,"(47.692676, -122.404273)"
Basketball Courts,Ross Playground,4320 4th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=248,-122.361324,47.660031,"(47.660031, -122.361324)"
Basketball Courts,Sandel Playground,9053 1st Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=250,-122.358699,47.695135,"(47.695135, -122.358699)"
Basketball Courts,Loyal Heights Playfield,2101 NW 77th St.,http://www.seattle.gov/parks/park_detail.asp?ID=289,-122.383241,47.684105,"(47.684105, -122.383241)"
Basketball Courts,Bay View Playground,2614 24th Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=303,-122.386787,47.643801,"(47.643801, -122.386787)"
Basketball Courts,Green Lake Park,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.337787,47.682453,"(47.682453, -122.337787)"
